app_name,GPSSample::en,GPSSample::es,GPSSample::fr,GPSSample::pt,GPSSample::ru,GPSSample::id
samling_methods,Simple Random Sampling,Muestreo aleatorio simple,Échantillonnage aléatoire simple,Amostragem aleatória simples,Простая случайная выборка,Contoh acak sederhana
samling_methods,Cluster Sampling,Muestreo por conglomerados,Échantillonnage en grappes,Amostragem por conglomerados,Кластерная выборка,Pengambilan Sampel Klaster
samling_methods,Subsets: May Overlap,Subconjuntos: pueden superponerse,Sous-ensembles : peuvent se chevaucher,Subconjuntos: Podem sobrepor-se,Подмножества: Могут пересекаться,Subset: Mungkin Tumpang Tindih
samling_methods,Strata: Mutually Exclusive,Estratos: Mutuamente excluyentes,Strates : mutuellement exclusives,Estratos: Mutuamente exclusivos,Страты: Взаимоисключающие,Strata: Saling Eksklusif
admin,Admin,Administrador,Administrateur,Administrador,Администратор,Admin
supervisor,Supervisor,Supervisor,Superviseur,Supervisor,Руководитель,Pengawas
enumerator,Enumerator,Enumerador,Recenseur,Enumerador,Перечислитель,Pencacah
surveyor,Surveyor,Encuestador,Arpenteur,Topógrafo,Исследователь,surveyor
configurations,Configurations,Configuraciones,Configurations,Configuração,Конфигурации,Konfigurasi
no_configurations,You don't have any configurations,No tiene ninguna configuración,Vous n'avez aucune configuration,Não tem nenhuma configuração,У вас нет каких -либо конфигураций,Anda tidak memiliki konfigurasi apa pun
no_studies,You don't have any studies for this configuration,No tienes ningún estudio para esta configuración,Vous n'avez pas d'études pour cette configuration,Não existem estudos para esta configuração,У вас нет исследований для этой конфигурации,Anda tidak memiliki studi apa pun untuk konfigurasi ini
data_collector,Data Collector,Recolector de datos,Collecteur de données,Coletor de dados,Опрашивающий,Pengumpul data
scan_qr_code,Scan QR Code,Escanear código QR,Scannez le code QR,Ler código QR,Сканирование QR-кода,Pindai kode QR
continue_with_existing_study,Continue with existing Study,Continuar el estudio existente,Continuez avec l'étude existante,Continuar com o estudo existente,Продолжить существующее исследование,Lanjutkan dengan Studi yang ada
admin_sign_in,Admin Sign In,Inicio de sesión de administrador,Connexion de l'administrateur,Login do Administrador,Вход администратора,Admin Masuk
supervisor_sign_in,Supervisor Sign In,​​Inicio de sesión de supervisor,Connexion du superviseur,Login do Supervisor,Вход  Руководитель,Supervisor Masuk
data_collector_sign_in,Data Collector Sign In,Inicio de sesión de recolector de datos,Connexion du collecteur de données,Login do coletor de dados,Вход опрашивающего ,Masuk Pengumpul Data
admin_sign_up,Admin Sign Up,Registro de administrador,Inscription de l'administrateur,Registo do administrador,Зарегистрироваться как Администратор,Admin Daftar
supervisor_sign_up,Supervisor Sign Up,Registro de supervisor,Inscription du superviseur,Registo do supervisor,Зарегистрироваться как Руководитель,Pendaftaran Supervisor
data_collector_sign_up,Data Collector Sign Up,Registro de recolector de datos,Inscription du collecteur de données,Registo do coletor de dados,Регистрация сборщика данных,Pendaftaran Pengumpul Data
enter_your_pin,Enter your PIN,Ingrese su PIN,Saisissez votre code PIN,Digite seu PIN,Введите PIN-код,Masukkan PIN Anda
reenter_your_pin,Re-enter your PIN,Vuelva a ingresar su PIN,Saisissez à nouveau votre code PIN,Digite novamente seu PIN,Повторный ввод PIN-кода,Masukkan kembali PIN Anda
back,Back,Atrás,Écran précédent,Voltar,Назад,Kembali
cancel,Cancel,Anular,Annulez,Cancelar,Отменить,Membatalkan
finish,Finish,Finalizar,Finir,Terminar,Завершить,Menyelesaikan
save,Save,Grabar,Sauvegardez,Guardar,Сохранить,Menyimpan
done,Done,Hecho,Terminé,Concluído,Готово,Selesai
select_role,Select your Role,Selecciona su rol,Sélectionnez votre rôle,Seleccione a sua função,Выберите свою роль,Pilih Peran Anda
admin_select_role,Admin Select Role,Administrador - selecciona rol,Administrateur - Sélectionnez un rôle,Administrador - Selecionar função,Выберите роль Администратора,Admin Pilih Peran
supervisor_select_role,Supervisor Select Role,Supervisor - selecciona rol,Superviseur - Sélectionnez un rôle,Supervisor - Selecionar função,Выберите роль Супервайзера,Peran Pemilihan Supervisor
sign_in,Sign In,Iniciar sesión,S'identifier,Login,Войти,Masuk
sign_up,Sign Up,Registrarse,S'inscrire,Inscrever-se,Зарегистрироваться,Mendaftar
sign_out,Sign Out,Cerrar sesión,Se déconnecter,Sair,Выйти из системы,Keluar
not_registered,Not registered?  Sign Up!,¿No estás registrado? ¡Regístrate!,Pas enregistré? S'inscrire!,Não está registado?  Registe-se!,Не зарегистрированы?  Зарегистрируйтесь!,Tidak terdaftar? Mendaftar!
name,Name,Nombre,Nom,Nome,Имя,Nama
enter_your_name,Enter your name,Ingrese su nombre,Entrez votre nom,Insira seu nome,Введите Ваше имя,Masukkan nama Anda
pin,PIN,PIN,PIN,PIN,PIN,PIN
forgot_pin_question,Forgot PIN question,Se olvidó la pregunta del PIN,Question liée au PIN oubliée?,Pergunta sobre o PIN esquecido,Забыли PIN-код,Pertanyaan lupa PIN
forgot_pin_answer,Forgot PIN answer,Se olvidó la respuesta del PIN,Réponse liée au PIN oubliée?,Resposta ao PIN esquecido,Забыли ответ PIN,Lupa jawaban PIN
enter_your_answer,Enter your answer,Ingrese su respuesta,Saisissez votre réponse,Insira sua resposta,Введите ответ,Masukkan jawaban Anda
create_config,Create Configuration,Crear configuración,Créer une configuration,Criar configuração,Создать конфигурацию,Buat Konfigurasi
delete_config,Delete Configuration,Eliminar configuración,Supprimer la configuration,Eliminar configuração,Удалить конфигурацию,Hapus Konfigurasi
edit_config,Edit Configuration,Editar configuración,Modifier la configuration,Editar configuração,Редактировать конфигурацию,Sunting Konfigurasi
create_study,Create Study,Crear estudio,Créer une étude,Criar estudo,Создать исследование,Buat Studi
edit_study,Edit Study,Modificar estudio,Modifier l'étude,Editar estudo,Редактировать исследование,Sunting Studi
delete_study,Delete Study,Eliminar estudio,Supprimer l'étude,Eliminar estudo,Удалить исследование,Hapus Studi
create_field,Create Field,Crear campo,Créer un champ,Criar campo,Создать поле,Buat Bidang
config_name,Configuration Name,Nombre de la configuración,Nom de la configuration,Nome da configuração,Конфигурация имени,Nama Konfigurasi
study_name,Study Name,Nombre del estudio,Nom de l'étude,Nome do estudo,Имя исследования,Nama Studi
field_name,Field Name,Nombre del campo,Nom du champ,Nome do campo,Имя поля,Nama Bidang
enumeration_fields,Enumeration Fields,Campos de enumeración,Champs d'énumération,Campos de enumeração,Поля перечисления,Bidang Pencacahan
enter_config_name,Enter Configuration Name,Ingrese el nombre de la configuración,Entrez le nom de la configuration,Insirar nome da configuração,Введите имя конфигурации,Masukkan Nama Konfigurasi
enter_study_name,Enter Study Name,Ingrese el nombre del estudio,Entrez le nom de l'étude,Insirar nome do estudo,Введите имя исследования,Masukkan Nama Studi
enter_field_name,Enter Field Name,Ingrese el nombre del campo,Entrez le nom du champ,Insirar o nome do campo,Введите имя поля,Masukkan Nama Bidang
preferred_units,Preferred Units,Unidades preferidas,Unités de préférence,Unidades preferidas,Предпочитаемые единицы,Unit Pilihan
date_format,Date Format,Formato de fecha,Format de la date,Formato de data,Формат даты,Format tanggal
time_format,Time Format,Formato de hora,Format horaire,Formato da hora,Формат времени,Format waktu
manage_enumerators,Manage Enumerators,Administrar enumeradores,Gérer les enquêteurs,Gerir enumeradores,Управление счетчиками,Kelola Enumerator
collect_enumerations,Collect Enumerations,Recoger enumeraciones,Collecter les énumérations,Coletar enumerações,Сбор перечислений,Kumpulkan Enumerasi
generate_sample,Generate Sample,Generar muestra,Générer un échantillon,Gerar amostra,Создасть выборку,Hasilkan Sampel
collect_samples,Collect Samples,Recoger muestras,Recueillir les échantillons,Coletar amostras,Сбор образцов,Kumpulkan Sampel
min_gps_precision,Desired GPS Precision,Precisión deseada de GPS,Précision GPS souhaitée,Precisão GPS pretendida,Желаемая точность GPS,Presisi GPS yang Diinginkan
enter_min_gps_precision,Enter Desired GPS Precision,Ingrese la precisión deseada de GPS ,Entrez la précision GPS souhaitée,Insirar a precisão GPS pretendida,Введите желаемую точность GPS,Masukkan Presisi GPS yang Diinginkan
define_enumeration_fields,Define Enumeration Fields,Definir campos de enumeración,Définir les champs d'énumération,Definir campos de enumeração,Определить поля перечисления,Tentukan Bidang Pencacahan
define_enumeration_area,Define Enumeration Area,Definir área de enumeración,Définir la zone de dénombrement,Definir área de enumeração,Определить область перечисления,Tentukan Area Pencacahan
define_sampling_method,Define Sampling Method,Definir método de muestreo,Définir la méthode d'échantillonnage,Definir método de amostragem,Определить метод выборки,Tentukan Metode Pengambilan Sampel
studies,Studies,Estudios,Études,Estudos,Исследования,Studi
barcode_result,Barcode detected,Código de barras detectado,Code-barres détecté,Código de barras detectado,Обнаружен штрих-код,Kode batang terdeteksi
error_scanner_cancelled,Code scanner is cancelled.,El escáner del código fue anulado,Le scanner de code est annulé.,Scanner de código é cancelado.,Сканер кодов отменен.,Pemindai kode dibatalkan.
error_camera_permission_not_granted,Camera permission is not granted.,Permiso de cámara no otorgado,L'autorisation pour la caméra n'est pas accordée.,A permissão da câmara não é concedida.,Разрешение камеры не выдано.,Izin kamera tidak diberikan.
error_app_name_unavailable,App name is not set.,Nombre de la aplicación no fue establecido,Le nom de l'application n'est pas défini.,O nome da aplicação não está definido.,Не задано имя приложения.,Nama aplikasi belum disetel.
error_default_message,Failed to scan code:,Error en escanear el código:,Le code QR n'a pas été scanné:,Falha na leitura do código:,Не удалось отсканировать код:,Gagal memindai kode:
menu_item_settings,Settings,Configuración,Paramètres,Configurações,Настройки,Pengaturan
change_role,Change Role,Cambiar rol,Changement de rôle,Alterar função,Изменить роль,Ubah Peran
enter_your_user_name,Enter your User Name,Ingrese su nombre de usuario,Entrez votre nom d'utilisateur,Insirar o seu Nome de Utilizador,Введите имя пользователя,Masukkan Nama Pengguna Anda
field_type,Field Type,Tipo de campo,Type de champ,Tipo de campo,Тип поля,Jenis Bidang
enter_checkbox_text,Enter checkbox item text,Ingrese el texto del elemento de la casilla de chequeo,Saisir le texte de l'élément de la case à cocher,Insirar o texto do item da caixa de seleção,Введите текст элемента флажка,Masukkan teks item kotak centang
enter_dropdown_item_text,Enter dropdown item text,Ingrese el texto del elemento del menú de opciones,Saisir le texte de l'élément déroulant,Insirar o texto do item da lista suspensa,Введите текст элемента выпадающего списка,Masukkan teks item tarik-turun
add_another,ADD ANOTHER,SUMA OTRO,AJOUTER UN AUTRE,ADICIONAR OUTRO,ДОБАВИТЬ ДРУГОЕ,TAMBAHKAN LAINNYA
delete_field,Delete Field,Eliminar campo,Supprimer le champ,Eliminar campo,Удалить поле,Hapus Bidang
manage_this_study,Manage this Study,Administrar este estudio,Gérer cette étude,Gerir este estudo,Управление исследованием,Kelola Studi ini
manage_study,Manage Study,Administrar estudio,Gérer l'étude,Gerir estudo,Управление исследованием,Kelola Studi
manage_configuration,Manage Configuration,Administrar configuración,Gérer la configuration,Gerir a configuração,Управление конфигурацией,Kelola Konfigurasi
manage_configurations,Manage Configurations,Administrar configuraciones,Gérer les configurations,Gerir configurações,Управление конфигурациями,Kelola Konfigurasi
generate_qr_code,Generate QR Code,Generar código QR,Générer un code QR,Gerar código QR,Генерировать QR-код,Hasilkan Kode QR
create_filter,Create Filter,Crear filtro,Créer un filtre,Criar filtro,Создать фильтр,Buat Filter
create_rule,Create Rule,Crear regla,Créer une règle,Criar regra,Создать правило,Buat Aturan
enter_rule_name,Enter Rule Name,Ingrese el nombre de la regla,Entrez le nom de la règle,Insirar nome da regra,Введите имя правила,Masukkan Nama Aturan
field,Field,Campo,Champ,Campo,Поле,Bidang
operator,Operator,Operador,Opérateur de fonction,Operador,Оператор,Operator
enter_value,Enter Value,Ingrese valor,Entrez la valeur,Insirar valor,Введите значение,Masukkan Nilai
value,Value,Valor,Valeur,Valor,Значение,Nilai
rule,Rule,Regla,Règle,Regra,Правило,Aturan
connector,Connector,Conector,Connecteur,Conector,Коннектор,Penyambung
sampling_method,Sampling Method,Método de muestreo,Méthode d'échantillonnage,Método de amostragem,Метод выборки,Metode Pengambilan Sampel
enter_filter_name,Enter Filter Name,Ingrese el nombre del filtro,Entrez le nom du filtre,Insirar nome do filtro,Введите имя фильтра,Masukkan Nama Filter
sample_size,Sample Size,Tamaño de la muestra,Taille de l'échantillon,Tamanho da amostra,Размер выборки,Ukuran sampel
filter_name,Filter Name,Nombre del filtro,Nom du filtre,Nome do filtro,Имя фильтра,Nama Penyaring
rule_name,Rule Name,Nombre de la regla,Nom de la règle,Nome da regra,Имя правила,Nama aturan
total_sample_size,Total Sample Size Across All Clusters,Tamaño total de la muestra en todos los conglomerados,Taille totale de l'échantillon pour toutes les grappes,Tamanho total da amostra em todos os conglomerados,Общий размер выборки по всем кластерам,Total Ukuran Sampel di Semua Cluster
manage_studies,Manage Studies,Administrar estudios,Gérer les études,Gerir estudos,Управление исследованиями,Kelola Studi
manage_samples,Manage Samples,Administrar muestras,Gérer les échantillons,Gerir amostras,Управление выборками,Kelola Sampel
create_sample,Create Sample,Crear muestra,Créer un échantillon,Criar amostra,Создать выборку,Buat Sampel
delete_sample,Delete Sample,Eliminar muestra,Supprimer l'échantillon,Eliminar amostra,Удалить образец,Hapus Sampel
manage_supervisors,Manage Supervisors,Administrar supervisores,Gérer les superviseurs,Gerir supervisores,Управление супервизорами,Kelola Supervisor
home,Home,Pantalla de inicio,Écran d'accueil,Início,Главная,Rumah
manage_enumeration_areas,Manage Enumeration Areas,Administrar áreas de enumeración,Gérer les zones de dénombrement,Gerir áreas de enumeração,Управление участками переписи,Kelola Area Pencacahan
please_confirm,Please Confirm,"Por favor, confirme","SVP, confirmez","Por favor, confirmar","Пожалуйста, подтвердите",Mohon Konfirmasi
import_enumeration,Import Enumeration Data,Importar datos de enumeración,Importez les données d'énumération,Importar dados de enumeração,Импорт данных перечисления,Impor Data Pencacahan
export_configuration,Export Configuration,Exportar configuración,Exportez la configuration,Exportar configuração,Экспорт конфигурации,Konfigurasi Ekspor
delete_study_message,Are you sure you want to permanently delete this study?,¿Está seguro de que desea eliminar permanentemente este estudio?,Êtes-vous sûr de vouloir supprimer définitivement cette étude ?,Tem a certeza de que deseja eliminar permanentemente este estudo?,"Вы уверены, что хотите безвозвратно удалить это исследование?",Apakah Anda yakin ingin menghapus studi ini secara permanen?
delete_field_message,Are you sure you want to permanently delete this field?,¿Está seguro de que desea eliminar permanentemente este campo?,Êtes-vous sûr de vouloir supprimer définitivement ce champ ?,Tem a certeza de que deseja eliminar permanentemente este campo?,"Вы уверены, что хотите безвозвратно удалить это поле?",Apakah Anda yakin ingin menghapus bidang ini secara permanen?
delete_rule_message,Are you sure you want to permanently delete this rule?,¿Está seguro de que desea eliminar permanentemente esta regla?,Êtes-vous sûr de vouloir supprimer définitivement cette règle ?,Tem a certeza de que deseja eliminar permanentemente esta regra?,"Вы уверены, что хотите навсегда удалить это правило?",Apakah Anda yakin ingin menghapus aturan ini secara permanen?
delete_team_message,Are you sure you want to permanently delete this team?,¿Está seguro de que desea eliminar permanentemente este equipo?,Êtes-vous sûr de vouloir supprimer définitivement cette équipe ?,Tem a certeza de que deseja eliminar permanentemente esta equipa?,"Вы уверены, что хотите навсегда удалить эту команду?",Apakah Anda yakin ingin menghapus tim ini secara permanen?
delete_configuration_message,Are you sure you want to permanently delete this configuration?,¿Está seguro de que desea eliminar permanentemente esta configuración?,Êtes-vous sûr de vouloir supprimer définitivement cette configuration ?,Tem a certeza de que deseja eliminar permanentemente esta configuração?,"Вы уверены, что хотите навсегда удалить эту конфигурацию?",Apakah Anda yakin ingin menghapus konfigurasi ini secara permanen?
delete_household_message,Are you sure you want to permanently delete this household?,¿Está seguro de que desea eliminar permanentemente este hogar?,Êtes-vous sûr de vouloir supprimer définitivement ce ménage ?,Tem a certeza de que deseja eliminar permanentemente este agregado familiar?,"Вы уверены, что хотите навсегда удалить это домохозяйство?",Apakah Anda yakin ingin menghapus rumah tangga ini secara permanen?
create_field_rule_message,You must create at least one field before you can create a rule,Debe crear al menos un campo antes de poder crear una regla,Vous devez créer au moins un champ avant de pouvoir créer une règle.,Você deve criar pelo menos um campo antes de criar uma regra,Перед созданием правила необходимо создать хотя бы одно поле,Anda harus membuat setidaknya satu bidang sebelum dapat membuat aturan
create_rule_filter_message,You must create at least one rule before you can create a filter,Debe crear al menos una regla antes de poder crear un filtro,Vous devez créer au moins une règle avant de pouvoir créer un filtre,Você deve criar pelo menos um campo antes de criar uma regra,Перед созданием фильтра необходимо создать хотя бы одно правило,Anda harus membuat setidaknya satu aturan sebelum dapat membuat filter
select_import_method_message,Select an import method,Seleccione un método de importación,Sélectionnez une méthode d'importation,Selecione um método de importação,Выберите метод импорта,Pilih metode impor
select_export_message,Select an export method,Seleccione un método de exportación,Sélectionnez une méthode d'exportation,Selecione um método de exportação,Выберите метод экспорта,Pilih metode ekspor
clear_selections_message,Are you sure you want clear all selections?,¿Está seguro de que desea borrar todas las selecciones?,Etes-vous sûr de vouloir effacer toutes les sélections ?,Tem a certeza de que deseja apagar todas as selecções?,"Вы уверены, что хотите снять все выделения?",Apakah Anda yakin ingin menghapus semua pilihan?
team_name_message,You must enter a team name,Debe introducir un nombre de equipo,Vous devez saisir un nom d'équipe,Você deve inserir um nome de equipe,Необходимо ввести имя команды,Anda harus memasukkan nama tim
configuration_documents_message,The configuration has been saved to the Documents directory.,La configuración se ha guardado en el directorio Documentos.,La configuration a été sauvegardée dans le répertoire Documents.,A configuração foi guardada no diretório Documentos.,Конфигурация была сохранена в директории Documents.,Konfigurasi telah disimpan ke direktori Dokumen.
delete_enum_area_message,Are you sure you want to permanently delete Enumeration Area,¿Está seguro de que desea borrar permanentemente el Área de Enumeración?,Etes-vous sûr de vouloir supprimer définitivement la zone de dénombrement ?,Tem a certeza de que deseja eliminar permanentemente a Área de Enumeração,"Вы уверены, что хотите навсегда удалить область пересчета",Apakah Anda yakin ingin menghapus Area Enumerasi secara permanen
no_study_ea,You do not have a study associated with this EA.,No tiene ningún estudio asociado a esta Área de Enumeración.,Vous n'avez pas d'étude associée à cette zone de dénombrement.,Não tem um estudo associado a esta Área de Enumeração.,"У вас нет исследования, связанного с этим экспертом.",Anda tidak memiliki studi yang terkait dengan EA ini.
filename_export_message,Enter a file name for the export,Introduzca un nombre de archivo para la exportación,Entrez un nom de fichier pour l'exportation,Insira um nome de ficheiro para a exportação,Введите имя файла для экспорта,Masukkan nama file untuk ekspor
select_task,Select a task,Seleccione una tarea,Sélectionnez une tâche,Selecione uma tarefa,Выберите задачу,Pilih tugas
yes,Yes,Sí,Oui,Sim,Да,Ya
no,No,No,Non,Não,Нет,TIDAK
qr_code,QR Code,Código QR,Code QR,Código QR,QR-код,Kode QR
file_system,File System,Sistema de archivos,Système de fichiers,Sistema de ficheiros,Файловая система,Berkas sistem
survey,Survey,Encuesta,Enquête,Questionário,Опрос,Survei
undefined,Undefined,Sin definir,Non défini,Indefinido,Неопределенный,Belum diartikan
enter_name,Please enter a name,"Por favor, introduzca un nombre",Veuillez saisir un nom,"Por favor, insira um nome","Пожалуйста, введите имя",Silakan masukkan nama
desired_gps_position,Please enter the minimum desired GPS precision,"Por favor, introduzca la precisión GPS mínima deseada",Veuillez saisir la précision GPS minimale souhaitée,"Por favor, insira a precisão GPS mínima pretendida",Введите минимальную желаемую точность GPS,Silakan masukkan presisi GPS minimum yang diinginkan
import_configuration,Import Configuration,Configuración de importación,Configuration de l'importation,Importar configuração,Конфигурация импорта,Konfigurasi Impor
select_import_method,Select an import method,Seleccione un método de importación,Sélectionnez une méthode d'importation,Selecione um método de importação,Выберите метод импорта,Pilih metode impor
select_configuration,Select a configuration,Seleccione una configuración,Sélectionner une configuration,Selecione uma configuração,Выберите конфигурацию,Pilih konfigurasi
home_not_exist,Home does not exist,La hogar no existe ,Le domicile n'existe pas,O agregado familiar não existe,Дом не существует,Rumah tidak ada
reason_incomplete,Oops! Please select a reason for incomplete,"¡Oops! Por favor, seleccione una razón para incompleto",Oups ! Veuillez sélectionner une raison pour l'incomplétude,"Oops! Por favor, seleccione um razão para incompleto","Упс! Пожалуйста, выберите причину неполного заполнения",Ups! Silakan pilih alasan untuk tidak lengkap
enter_enum_area_name,Enter the Enumeration Area name,Introduzca el nombre del área de enumeración,Saisir le nom de la zone d'énumération,Insira o nome da área de enumeração,Введите название области перечисления,Masukkan nama Area Pencacahan
select_enumeration,Select an Enumeration Area,Seleccione un Área de Enumeración,Sélectionner une zone d'énumération,Selecione uma área de enumeração,Выберите область пересчета,Pilih Area Pencacahan
select_time,Select Time,Seleccione la hora,Sélectionner l'heure,Selecione a hora,Выберите время,Pilih Waktu
select_date,Select Date,Seleccione la fecha,Sélectionnez la date,Selecione a data,Выберите дату,Pilih Tanggal
your_pin_is,Your PIN is:,Su PIN es,Votre code PIN est :,O seu PIN é:,Ваш PIN-код:,PIN Anda adalah:
incorrect_answer_message,Oops! Incorrect answer.  Please try again.,"¡Uy! Respuesta incorrecta.  Por favor, inténtelo de nuevo.",Oups ! Réponse incorrecte.  Veuillez réessayer.,"Oops! Resposta incorrecta.  Por favor, tente novamente.","Oops! Неправильный ответ.  Пожалуйста, попробуйте еще раз.",Ups! Jawaban yang salah. Silakan coba lagi.
enter_other_question,Enter Other Question,Introduzca otra pregunta,Saisir une autre question,Insira outra pergunta,Введите другой вопрос,Masukkan Pertanyaan Lainnya
reenter_pin,Please re-enter the PIN,Vuelva a introducir el PIN,Veuillez saisir à nouveau le code PIN,Volte a insirar o PIN,"Пожалуйста, введите PIN-код повторно",Silakan masukkan kembali PIN
enter_pin,Please enter a PIN,"Por favor, introduzca un PIN",Veuillez saisir un code PIN,"Por favor, insira um PIN","Пожалуйста, введите PIN-код",Silakan masukkan PIN
other_question,Other Question,Otra pregunta,Autre question,Outra pergunta,Другой вопрос,Pertanyaan lain
enter_answer,Please enter an answer.,"Por favor, introduzca una respuesta.",Veuillez saisir une réponse.,"Por favor, insira uma resposta.","Пожалуйста, введите ответ.",Silakan masukkan jawaban.
pin_not_match,The PIN's do not match,Los PIN no coinciden,Les codes PIN ne correspondent pas,Os PIN's não coincidem,PIN-коды не совпадают,PINnya tidak cocok
enter_file_name,You must enter a file name,Debe introducir un nombre de archivo,Vous devez saisir un nom de fichier,Tem de insirar um nome de ficheiro,Необходимо ввести имя файла,Anda harus memasukkan nama file
pin_incorrect,The current PIN is incorrect,El PIN actual es incorrecto,Le code PIN actuel est incorrect,O PIN atual está incorreto,Текущий PIN-код неверен,PIN saat ini salah
config_not_found,Fatal! Configuration not found.,Fallo Configuración no encontrada.,Erreur fatale ! La configuration n'a pas été trouvée.,Fatal! Configuração não encontrada.,Fatal! Конфигурация не найдена.,Fatal! Konfigurasi tidak ditemukan.
missing_parameter_rule,Fatal! Missing required parameter: rule,¡Fatal! Falta el parámetro requerido: regla,Fatal ! Paramètre requis manquant : règle,Fatal! Parâmetro obrigatório em falta: regra,Fatal! Отсутствует необходимый параметр: правило,Fatal! Parameter yang diperlukan tidak ada: aturan
ok,Ok,Ok,Ok,Ok,Хорошо,Oke
wifi_disabled,WiFi disabled,WiFi desactivado,WiFi désactivé,WiFi desativado,WiFi отключен,Wi-Fi dinonaktifkan
wifi_disabled_message,WiFi is disabled. Please make sure Wifi is turned on,"El WiFi está desactivado. Por favor, asegúrese de que el Wifi está activado",Le WiFi est désactivé. Veuillez vous assurer que le Wifi est activé,O WiFi está desativado. Certifique-se de que o Wi-Fi está ativado,"WiFi отключен. Пожалуйста, убедитесь, что WiFi включен",Wi-Fi dinonaktifkan. Harap pastikan Wifi dihidupkan
additional_info,Additional Info,Información adicional,Informations complémentaires,Informações adicionais,Дополнительная информация,Informasi tambahan
