app_name	GPSSample::en	GPSSample::es	GPSSample::fr	GPSSample::pt	GPSSample::ru	GPSSample::in	GPSSample::tl	GPSSample::fa-rAF	GPSSample::ps	
configurations	Configurations	Configuraciones	Configurations	Configuração	Конфигурации	Konfigurasi	Mga pagsasaayos	پیکربندی	تنظیمات	
no_configurations	You don't have any configurations	No tiene ninguna configuración	Vous n'avez aucune configuration	Não tem nenhuma configuração	У вас нет конфигураций	Anda tidak memiliki konfigurasi apa pun	Wala kang anumang mga configuration	شما هیچ پیکربندی ندارید	تاسو هیڅ تنظیمات نلرئ	
no_studies	You don't have any studies for this configuration	No tienes ningún estudio para esta configuración	Vous n'avez pas d'études pour cette configuration	Não existem estudos para esta configuração	У вас нет исследований для этой конфигурации	Anda tidak memiliki studi apa pun untuk konfigurasi ini	Wala kang anumang pag-aaral para sa configuration na ito	شما هیچ مطالعه	د دې تنظیم لپاره تاسو هیڅ مطالعې نلرئ	
data_collector	Data Collector	Recolector de datos	Collecteur de données	Coletor de dados	Сборщик данных	Pengumpul data	Data Collector	داده	د معلوماتو راټولونکی	
scan_qr_code	Scan QR Code	Escanear código QR	Scannez le code QR	Ler código QR	Сканирование QR-кода	Pindai kode QR	I-scan ang QR Code	اسکن کد QR	QR کوډ سکین کړئ	
continue_with_existing_study	Continue with existing Study	Continuar el estudio existente	Continuez avec l'étude existante	Continuar com o estudo existente	Продолжить существующее исследование	Lanjutkan dengan Studi yang ada	Magpatuloy sa kasalukuyang Pag-aaral	به مطالعهٔ موجود ادامه دهید	له موجوده مطالعې سره دوام ورکړئ	
admin_sign_in	Admin Sign In	Inicio de sesión de Administrador	Connexion de l'Administrateur	Login do Administrador	Вход как администратор	Administrator Masuk	Mag-sign In ng Administrator	ورود مدیر	مدیر ننوتل	
supervisor_sign_in	Supervisor Sign In		Connexion du Superviseur	Login do Supervisor	Вход  как руководитель	Pengawas Masuk	Mag-sign In ng Superbisor	ورود سرپرست	څارونکی ننوتل	
data_collector_sign_in	Data Collector Sign In	Inicio de sesión de Recolector de datos	Connexion du Collecteur de données	Login do Coletor de dados	Вход как сборщик данный	Masuk Pengumpul Data	Mag-sign In ng Data Collector	ورود جمع	د معلوماتو راټولونکی ننوتل	
admin_sign_up	Admin Sign Up	Registro de Administrador	Inscription de l'Administrateur	Registo do administrador	Зарегистрироваться как Администратор	Administrator Daftar	Mag-sign up ang Administrator	مدیر ثبت	د مدیر نوم لیکنه	
supervisor_sign_up	Supervisor Sign Up	Registro de Supervisor	Inscription du Superviseur	Registo do supervisor	Зарегистрироваться как Руководитель	Pendaftaran Pengawas	Mag-sign Up ng Superbisor	ثبت	څارونکي نوم لیکنه	
data_collector_sign_up	Data Collector Sign Up	Registro de recolector de datos	Inscription du collecteur de données	Registo do coletor de dados	Регистрация как сборщик данных	Pendaftaran Pengumpul Data	Mag-sign Up ng Data Collector	ثبت	د معلوماتو راټولونکي نوم لیکنه	
enter_your_pin	Enter your PIN	Ingrese su PIN	Saisissez votre code PIN	Digite seu PIN	Введите PIN-код	Masukkan PIN Anda	Ilagay ang iyong PIN	شماره رمز خود را وارد کنید	خپل پین داخل کړئ	
reenter_your_pin	Re-enter your PIN	Vuelva a ingresar su PIN	Saisissez à nouveau votre code PIN	Digite novamente seu PIN	Повторный ввод PIN-кода	Masukkan kembali PIN Anda	Ipasok muli ang iyong PIN	کد پین خود را دوباره وارد کنید	خپل پین بیا داخل کړئ	
back	Back	Atrás	Écran précédent	Voltar	Назад	Kembali	Bumalik	بازگشت	شاته	
cancel	Cancel	Anular	Annulez	Cancelar	Отменить	Batal	Kanselahin	لغو	لغوه	
finish	Finish	Finalizar	Finir	Terminar	Завершить	Menyelesaikan	Tapusin	پایان	پای	
save	Save	Guardar	Sauvegardez	Guardar	Сохранить	Simpan	I-save	ذخیره	خوندي کول	
done	Done	Hecho	Terminé	Concluído	Готово	Selesai	Tapos na	انجام شد	تکمیل	
select_role	Select your Role	Seleccione su rol	Sélectionnez votre rôle	Seleccione a sua função	Выберите свою роль	Pilih Peran Anda	Piliin ang iyong Tungkulin	نقش خود را انتخاب کنید	خپل رول وټاکئ	
admin_select_role	Admin Select Role	Administrador - seleccione rol	Administrateur - Sélectionnez un rôle	Administrador - Selecionar função	Выберите роль Администратора	Administrator Pilih Peran	Pumili ng Tungkulin ng Administrator	مدیر نقش را انتخاب کنید	مدیر رول وټاکئ	
supervisor_select_role	Supervisor Select Role	Supervisor - seleccione rol	Superviseur - Sélectionnez un rôle	Supervisor - Selecionar função	Выберите роль Руководителя	Peran Pemilihan Supervisor	Pumili ng Tungkulin ng Superbisor	انتخاب نقش سرپرست	څارونکی رول وټاکئ	
sign_in	Sign In	Iniciar sesión	S'identifier: 	Login	Войти	Masuk	Mag-sign In	ورود	ننوتل	
sign_up	Sign Up	Registrarse	S'inscrire:	Inscrever-se	Зарегистрироваться	Mendaftar	Mag-sign Up	ثبت	نوم لیکنه	
sign_out	Sign Out	Cerrar sesión	Se déconnecter	Sair	Выйти из системы	Keluar	Mag-sign Out	خروج	وتل	
not_registered	Not registered?  Sign Up!	¿No está registrado? ¡Regístrese!	Pas enregistré? S'inscrire!	Não está registado?  Registe-se!	Не зарегистрированы?  Зарегистрируйтесь!	Tidak terdaftar? Mendaftar!	Hindi nakarehistro? Mag-sign Up!	ثبت	نوم لیکنه مو نه ده کړې؟ نوم لیکنه وکړئ!	
name	Name	Nombre	Nom	Nome	Имя	Nama	Pangalan	نام	نوم	
enter_your_name	Enter your name	Ingrese su nombre	Entrez votre nom	Insira seu nome	Введите Ваше имя	Masukkan nama Anda	Ilagay ang iyong pangalan	نام خود را وارد کنید	خپل نوم ولیکئ	
pin	PIN	PIN	PIN	PIN	PIN-код	PIN	PIN	پین	پن	
forgot_pin_question	Forgot PIN question	Olvidó la pregunta del PIN	Question liée au PIN oubliée?	Pergunta sobre o PIN esquecido	Забыли вопрос для PIN-кода	Pertanyaan lupa PIN	Nakalimutan ang tanong sa PIN	سؤال پین فراموش شد	د پن د پوښتنې هېرول	
forgot_pin_answer	Forgot PIN answer	Olvidó la respuesta del PIN	Réponse liée au PIN oubliée?	Resposta ao PIN esquecido	Забыли ответ для PIN-кода	Jawaban Lupa PIN	Nakalimutan ang sagot sa PIN	پاسخ پین فراموش شد	د پن د ځواب هېرول	
enter_your_answer	Enter your answer	Ingrese su respuesta	Saisissez votre réponse	Insira sua resposta	Введите ответ	Masukkan jawaban Anda	Ilagay ang iyong sagot	پاسخ خود را وارد کنید	خپل ځواب ولیکئ	
create_config	Create Configuration	Crear configuración	Créer une configuration	Criar configuração	Создать конфигурацию	Buat Konfigurasi	Lumikha ng Configuration	ایجاد پیکربندی	تشکیلات جوړ کړئ	
delete_config	Delete Configuration	Eliminar configuración	Supprimer la configuration	Eliminar configuração	Удалить конфигурацию	Hapus Konfigurasi	Tanggalin ang Configuration	حذف پیکربندی	تشکیلات حذف کړئ	
edit_config	Edit Configuration	Editar configuración	Modifier la configuration	Editar configuração	Редактировать конфигурацию	Sunting Konfigurasi	I-edit ang Configuration	ویرایش پیکربندی	ترکیب سمول	
create_study	Create Study	Crear estudio	Créer une étude	Criar estudo	Создать исследование	Buat Studi	Lumikha ng Pag-aaral	ایجاد مطالعه	مطالعه جوړول	
edit_study	Edit Study	Modificar estudio	Modifier l'étude	Editar estudo	Редактировать исследование	Sunting Studi	I-edit ang Pag-aaral	ویرایش مطالعه	مطالعه سمول	
delete_study	Delete Study	Eliminar estudio	Supprimer l'étude	Eliminar estudo	Удалить исследование	Hapus Studi	Tanggalin ang Pag-aaral	حذف مطالعه	مطالعه حذفول	
create_field	Create Field	Crear campo	Créer un champ	Criar campo	Создать поле	Buat Bidang	Lumikha ng Field	ایجاد میدان	میدان جوړول	
config_name	Configuration Name	Nombre de la configuración	Nom de la configuration	Nome da configuração	Имя конфигурации	Nama Konfigurasi	Pangalan ng Configuration	نام پیکربندی	د تشکیلاتو نوم	
study_name	Study Name	Nombre del estudio	Nom de l'étude	Nome do estudo	Имя исследования	Nama Studi	Pangalan ng Pag-aaral	نام مطالعه	د مطالعې نوم	
field_name	Field Name	Nombre del campo	Nom du champ	Nome do campo	Имя поля	Nama Bidang	Pangalan ng Field	نام فیلد	د ساحې نوم	
enumeration_fields	Enumeration Fields	Campos de enumeración	Champs de dénombrement	Campos de enumeração	Поля регистрации	Bidang Pencacahan	Mga Larangan ng Pag-iisa	فیلدهای فهرست	د لیست شویو ساحو	
enter_config_name	Enter Configuration Name	Ingrese el nombre de la configuración	Entrez le nom de la configuration	Insirar nome da configuração	Введите имя конфигурации	Masukkan Nama Konfigurasi	Ilagay ang Configuration Name	نام پیکربندی را وارد کنید	د تشکیلاتو نوم داخل کړئ	
enter_study_name	Enter Study Name	Ingrese el nombre del estudio	Entrez le nom de l'étude	Insirar nome do estudo	Введите имя исследования	Masukkan Nama Studi	Ilagay ang Pangalan ng Pag-aaral	نام مطالعه را وارد کنید	د مطالعې نوم داخل کړئ	
enter_field_name	Enter Field Name	Ingrese el nombre del campo	Entrez le nom du champ	Insirar o nome do campo	Введите имя поля	Masukkan Nama Bidang	Ipasok ang Pangalan ng Field	نام رشته را وارد کنید	د ساحې نوم داخل کړئ	
preferred_units	Preferred Units	Unidades preferidas	Unités de préférence	Unidades preferidas	Предпочитаемые единицы	Unit Pilihan	Mga Ginustong Yunit	واحدهای ترجیحی	ترجیحي واحدونه	
date_format	Date Format	Formato de fecha	Format de la date	Formato de data	Формат даты	Format tanggal	Format ng Petsa	قالب تاریخ	د نېټې بڼه	
time_format	Time Format	Formato de hora	Format horaire	Formato da hora	Формат времени	Format waktu	Format ng Oras	قالب زمان	د وخت بڼه	
manage_enumerators	Manage Enumerators	Administrar enumeradores	Gérer les enquêteurs	Gerir enumeradores	Управление регистраторами	Kelola Enumerator	Pamahalaan ang mga Enumerator	مدیریت شمارنده	انومېټرونه اداره کړئ	
collect_enumerations	Collect Enumerations	Recoger enumeraciones	Collectez les dénombrements	Coletar enumerações	Сбор регистрационных данных	Kumpulkan Enumerasi	Kolektahin ang mga Enumerasyon	جمع	انومېشنونه راټول کړئ	
generate_sample	Generate Sample	Generar muestra	Générer un échantillon	Gerar amostra	Создасть выборку	Hasilkan Sampel	Bumuo ng Sample	تولید نمونه	نموونه جوړه کړئ	
collect_samples	Collect Samples	Recoger muestras	Recueillir les échantillons	Coletar amostras	Сбор выборок	Kumpulkan Sampel	Kolektahin ang mga Sample	جمع	نمونې راټولې کړئ	
min_gps_precision	Desired GPS Precision	Precisión deseada de GPS	Précision GPS souhaitée	Precisão GPS pretendida	Желаемая точность GPS	Presisi GPS yang Diinginkan	Ninanais na Katumpakan ng GPS	دقت GPS مورد نظر	د ګیپس مطلوب دقت	
enter_min_gps_precision	Enter Desired GPS Precision	Ingrese la precisión deseada de GPS 	Entrez la précision GPS souhaitée	Insirar a precisão GPS pretendida	Введите желаемую точность GPS	Masukkan Presisi GPS yang Diinginkan	Ipasok ang Ninanais na Katumpakan ng GPS	دقت مورد نظر GPS را وارد کنید	د ګیپس مطلوب دقت داخل کړئ	
define_enumeration_fields	Define Enumeration Fields	Definir campos de enumeración	Définir les champs de dénombrement	Definir campos de enumeração	Определить поля регистрации	Tentukan Bidang Pencacahan	Tukuyin ang Enumeration Fields	تعریف فیلدهای شمارش	د شمېرنې د ساحو تعریف	
define_enumeration_area	Define Enumeration Area	Definir área de enumeración	Définir la zone de dénombrement	Definir área de enumeração	Определить область регистрации	Tentukan Area Pencacahan	Tukuyin ang Enumeration Area	تعریف ناحیه شمارش	د شمېرنې ساحه تعریف کړئ	
define_sampling_method	Define Sampling Method	Definir método de muestreo	Définir la méthode d'échantillonnage	Definir método de amostragem	Определить метод выборки	Tentukan Metode Pengambilan Sampel	Tukuyin ang Paraan ng Sampling	روش نمونه	نمونې اخیستنې طریقه تعریف کړئ	
studies	Studies	Estudios	Études	Estudos	Исследования	Studi	Pag-aaral	مطالعات	مطالعات	
barcode_result	Barcode detected	Código de barras detectado	Code-barres détecté	Código de barras detectado	Обнаружен штрих-код	Kode batang terdeteksi	Nakita ang barcode	بارکد شناسایی شد	بارکوډ وموندل شو	
error_scanner_cancelled	Code scanner is cancelled.	El escáner del código fue anulado	Le scanner de code est annulé.	Scanner de código é cancelado.	Сканер кодов отменен.	Pemindai kode dibatalkan.	Kinansela ang code scanner.	اسکنر کد لغو شد.	د کوډ سکینر لغوه شو	
error_camera_permission_not_granted	Camera permission is not granted.	Permiso de cámara no otorgado	L'autorisation pour la caméra n'est pas accordée.	A permissão da câmara não é concedida.	Нет разрешения для камеры.	Izin kamera tidak diberikan.	Hindi binibigyan ng pahintulot ang camera.	اجازهٔ دوربین داده نشده است.	د کیمرې اجازې نه دي ورکړل شوې.	
error_app_name_unavailable	App name is not set.	Nombre de la aplicación no fue establecido	Le nom de l'application n'est pas défini.	O nome da aplicação não está definido.	Не задано имя приложения.	Nama aplikasi belum disetel.	Hindi nakatakda ang pangalan ng app.	نام اپ تعیین نشده است.	د اپلیکیشن نوم نه دی ټاکل شوی.	
error_default_message	Failed to scan code:	Error en escanear el código:	Le code QR n'a pas été scanné:	Falha na leitura do código:	Не удалось отсканировать код:	Gagal memindai kode:	Nabigong i-scan ang code:	اسکن کد ناموفق بود:	د کوډ سکین کولو کې پاتې راغی:	
menu_item_settings	Settings	Configuración	Paramètres	Configurações	Настройки	Pengaturan	Mga setting	تنظیمات	تنظیمات	
change_role	Change Role	Cambiar rol	Changement de rôle	Alterar função	Изменить роль	Ubah Peran	Baguhin ang Tungkulin	تغییر نقش	دنده بدله کړئ	
enter_your_user_name	Enter your User Name	Ingrese su nombre de usuario	Entrez votre nom d'utilisateur	Insirar o seu Nome de Utilizador	Введите имя пользователя	Masukkan Nama Pengguna Anda	Ilagay ang iyong User Name	نام کاربری خود را وارد کنید	خپل کارن نوم ولیکئ	
field_type	Field Type	Tipo de campo	Type de champ	Tipo de campo	Тип поля	Jenis Bidang	Uri ng Field	نوع میدان	د ساحې ډول	
enter_checkbox_text	Enter checkbox item text	Ingrese el texto del elemento de la casilla de chequeo	Saisir le texte de l'élément de la case à cocher	Insirar o texto do item da caixa de seleção	Введите текст элемента флажка	Masukkan teks item kotak centang	Ilagay ang text ng item ng checkbox	متن مورد چک	د چیک باکس توکي متن ولیکئ	
enter_dropdown_item_text	Enter dropdown item text	Ingrese el texto del elemento del menú de opciones	Saisir le texte de l'élément déroulant	Insirar o texto do item da lista suspensa	Введите текст элемента выпадающего списка	Masukkan teks item tarik-turun	Ipasok ang teksto ng dropdown na item	متن مورد لیست کشویی را وارد کنید	د ډراپ ډاون توکي متن ولیکئ	
add_another	ADD ANOTHER	Añada otro	AJOUTER UN AUTRE	ADICIONAR OUTRO	ДОБАВИТЬ ДРУГОЕ	TAMBAHKAN LAINNYA	DAGDAG NG ISA PA	یک مورد دیگر اضافه کنید	یو بل اضافه کړئ	
delete_field	Delete Field	Eliminar campo	Supprimer le champ	Eliminar campo	Удалить поле	Hapus Bidang	Tanggalin ang Field	حذف میدان	میدان حذف کړئ	
manage_this_study	Manage this Study	Administrar este estudio	Gérer cette étude	Gerir este estudo	Управление этим исследованием	Kelola Studi ini	Pamahalaan ang Pag-aaral na ito	این مطالعه را مدیریت کنید	دې مطالعې اداره کړئ	
manage_study	Manage Study	Administrar estudio	Gérer l'étude	Gerir estudo	Управление исследованием	Kelola Studi	Pamahalaan ang Pag-aaral	مدیریت مطالعه	مطالعې اداره کړئ	
manage_configuration	Manage Configuration	Administrar configuración	Gérer la configuration	Gerir a configuração	Управление конфигурацией	Kelola Konfigurasi	Pamahalaan ang Configuration	مدیریت پیکربندی	تشکیلات اداره کړئ	
manage_configurations	Manage Configurations	Administrar configuraciones	Gérer les configurations	Gerir configurações	Управление конфигурациями	Kelola Konfigurasi	Pamahalaan ang mga Configuration	مدیریت پیکربندی	تشکیلات اداره کړئ	
generate_qr_code	Generate QR Code	Generar código QR	Générer un code QR	Gerar código QR	Генерировать QR-код	Hasilkan Kode QR	Bumuo ng QR Code	کد QR تولید کنید	کیو آر کوډ جوړ کړئ	
create_filter	Create Filter	Crear filtro	Créer un filtre	Criar filtro	Создать фильтр	Buat Filter	Lumikha ng Filter	ایجاد فیلتر	فلټر جوړ کړئ	
create_rule	Create Rule	Crear regla	Créer une règle	Criar regra	Создать правило	Buat Aturan	Lumikha ng Panuntunan	قانون ایجاد کنید	قاعده جوړه کړئ	
enter_rule_name	Enter Rule Name	Ingrese el nombre de la regla	Entrez le nom de la règle	Insirar nome da regra	Введите имя правила	Masukkan Nama Aturan	Ilagay ang Pangalan ng Panuntunan	نام قاعده را وارد کنید	د قاعدې نوم ولیکئ	
field	Field	Campo	Champ	Campo	Поле	Isian Data	Patlang	میدان	فیلډ	
operator	Operator	Operador	Opérateur de fonction	Operador	Оператор	Operator	Operator	اپراتور	چلونکی	
enter_value	Enter Value	Ingrese valor	Entrez la valeur	Insirar valor	Введите значение	Masukkan Nilai	Ipasok ang Halaga	مقدار را وارد کنید	ارزښت داخل کړئ	
value	Value	Valor	Valeur	Valor	Значение	Nilai	Halaga	ارزش	ارزښت	
rule	Rule	Regla	Règle	Regra	Правило	Aturan	Panuntunan	قانون	قاعده	
connector	Connector	Conector	Connecteur	Conector	Оператор	Penyambung	Konektor	اتصال	نښلونکی	
sampling_method	Sampling Method	Método de muestreo	Méthode d'échantillonnage	Método de amostragem	Метод выборки	Metode Pengambilan Sampel	Paraan ng Sampling	روش نمونه	د نمونې اخیستلو طریقه	
enter_filter_name	Enter Filter Name	Ingrese el nombre del filtro	Entrez le nom du filtre	Insirar nome do filtro	Введите имя фильтра	Masukkan Nama Filter	Ipasok ang Pangalan ng Filter	نام فیلتر را وارد کنید	د فلټر نوم داخل کړئ	
sample_size	Sample Size	Tamaño de la muestra	Taille de l'échantillon	Tamanho da amostra	Размер выборки	Ukuran sampel	Sukat ng Sample	اندازه نمونه	د نمونې اندازه	
filter_name	Filter Name	Nombre del filtro	Nom du filtre	Nome do filtro	Имя фильтра	Nama Penyaring	Pangalan ng Filter	نام فیلتر	د فلټر نوم	
rule_name	Rule Name	Nombre de la regla	Nom de la règle	Nome da regra	Имя правила	Nama aturan	Pangalan ng Panuntunan	نام قاعده	د قانون نوم	
total_sample_size	Total Sample Size Across All Clusters	Tamaño total de la muestra en todos los conglomerados	Taille totale de l'échantillon pour toutes les grappes	Tamanho total da amostra em todos os conglomerados	Общий размер выборки по всем кластерам	Total Ukuran Sampel di Semua Cluster	Kabuuang Laki ng Sample sa Lahat ng Cluster	تعداد کل نمونه در تمام خوشه	د ټولو کلسټرونو په کچه د نمونې ټولیز اندازه	
manage_studies	Manage Studies	Administrar estudios	Gérer les études	Gerir estudos	Управление исследованиями	Kelola Studi	Pamahalaan ang Pag-aaral	مدیریت مطالعات	د مطالعو مدیریت	
manage_samples	Manage Samples	Administrar muestras	Gérer les échantillons	Gerir amostras	Управление выборками	Kelola Sampel	Pamahalaan ang Mga Sample	مدیریت نمونه	نمونې اداره کړئ	
create_sample	Create Sample	Crear muestra	Créer un échantillon	Criar amostra	Создать выборку	Buat Sampel	Lumikha ng Sample	ایجاد نمونه	نمونې جوړول	
delete_sample	Delete Sample	Eliminar muestra	Supprimer l'échantillon	Eliminar amostra	Удалить выборку	Hapus Sampel	Tanggalin ang Sample	حذف نمونه	نمونې حذف کول	
manage_supervisors	Manage Supervisors	Administrar supervisores	Gérer les superviseurs	Gerir supervisores	Управление Руководителями	Kelola Supervisor	Pamahalaan ang mga Superbisor	مدیریت سرپرستان	څارونکي اداره کړئ	
